formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C12H26O7	[M + H]+	C12H27O7+	Fatty acids	0.815	Fatty acyls	0.518	Fatty alcohols	0.435	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.992	Dialkyl ethers	0.992	Polyethylene glycols	0.989	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	283.175	106	603011982957449583	603010782405006255	199
1	C12H26O7	[M + H3N + H]+	C12H30NO7+	Fatty acids	0.844	Fatty acyls	0.507	Fatty alcohols	0.441	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.991	Dialkyl ethers	0.992	Polyethylene glycols	0.989	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	300.201	106	603011980143070797	603010782597944244	200
1	C6H10N2O2	[M + H]+	C6H11N2O2+	Amino acids and Peptides	0.925	Small peptides	0.868	Dipeptides	0.762	Organic acids and derivatives	0.988	Carboxylic acids and derivatives	0.983	Amino acids, peptides, and analogues	0.904	Amino acids and derivatives	0.900	Alpha amino acids and derivatives	0.848	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Piperazines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Tertiary carboxylic acid amides; Dioxopiperazines; Carbonyl compounds; Diazinanes; N-alkylpiperazines; 2,5-dioxopiperazines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	143.081	106	603011971980953028	603010782778299321	201
1	C10H22O6	[M + H3N + H]+	C10H26NO6+	Fatty acids	0.813	Fatty acyls	0.533	Fatty alcohols	0.457	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.991	Dialkyl ethers	0.991	Polyethylene glycols	0.983	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	256.175	106	603011976900873003	603010782937682878	202
1	C8H18O5	[M + H3N + H]+	C8H22NO5+	Fatty acids	0.795	Fatty acyls	0.530	Fatty alcohols	0.466	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.989	Dialkyl ethers	0.990	Polyethylene glycols	0.979	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	212.149	106	603011971829958030	603010783063512003	203
1	C8H18O5	[M + H]+	C8H19O5+	Fatty acids	0.799	Fatty acyls	0.524	Fatty alcohols	0.467	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.990	Dialkyl ethers	0.991	Polyethylene glycols	0.980	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	195.123	107	603011982336692427	603010783197729736	204
1	C20H33NO8	[M + H]+	C20H34NO8+	Fatty acids	0.539	Small peptides	0.233	Aminoacids	0.160	Organic acids and derivatives	0.989	Carboxylic acids and derivatives	0.984	Amino acids, peptides, and analogues	0.703	Amino acids and derivatives	0.701	Amino acids and derivatives	0.701	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	416.227	108	603011975365757304	603010783487136722	208
17	C6H18N4O4S	[M + H]+	C6H19N4O4S+	Alkaloids	0.376	Histidine alkaloids	0.436	Imidazole alkaloids	0.440	Organic acids and derivatives	0.977	Carboxylic acids and derivatives	0.902	Carboxylic acid derivatives	0.881	Carboxylic acid amides	0.739	Acetamides	0.950	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	243.113	101	603011923981327803	603010783617160151	209
1	C6H14O4	[M + H]+	C6H15O4+	Fatty acids	0.773	Fatty acyls	0.547	Fatty alcohols	0.493	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.989	Dialkyl ethers	0.991	Polyethylene glycols	0.968	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	151.096	108	603011986828793254	603010783780738012	210
1	C13H12N4O2	[M + H]+	C13H13N4O2+	Alkaloids	0.995	Anthranilic acid alkaloids	0.967	Phenazine alkaloids	0.369	Organoheterocyclic compounds	1.000	Pteridines and derivatives	0.998	Alloxazines and isoalloxazines	0.999	Flavins	0.980	Flavins	0.980	Organic compounds; Organoheterocyclic compounds; Pyrazines; Pyrimidines and pyrimidine derivatives; Pteridines and derivatives; Lactams; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Alloxazines and isoalloxazines; Quinoxalines; Flavins; Diazines; Benzenoids; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Diazanaphthalenes; Benzodiazines; Chemical entities	257.103	108	603011979513925083	603010783931732961	211
1	C15H16N2O2	[M + H]+	C15H17N2O2+	Alkaloids	0.983	Tryptophan alkaloids	0.609	Carboline alkaloids	0.618	Benzenoids	0.991	Phenol ethers	0.966	Anisoles	0.967			Anisoles	0.967	Organic compounds; Organoheterocyclic compounds; Alkyl aryl ethers; Anisoles; Ethers; Organonitrogen compounds; Organooxygen compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Organic oxides; Methoxybenzenes; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	257.128	108	603011990008076850	603010784078533606	212
1	C9H16N2O3	[M + H]+	C9H17N2O3+	Amino acids and Peptides	0.415	Small peptides	0.539	Dipeptides	0.369	Organoheterocyclic compounds	0.706	Diazinanes	0.635	Piperazines	0.535			Piperazines	0.535	Organic compounds; Organoheterocyclic compounds; Piperazines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Tertiary carboxylic acid amides; Carbonyl compounds; Diazinanes; Acetamides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	201.123	108	603011988879808559	603010784233722859	213
1	C16H29NO5	[M + H]+	C16H30NO5+	Fatty acids	0.931	Fatty amides	0.963	N-acyl amines	0.708	Lipids and lipid-like molecules	0.882	Fatty Acyls	0.887	Fatty amides	0.811	N-acyl amines	0.786	N-acyl amines	0.786	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	316.212	109	603011977790065760	603010784376329200	214
1	C6H6N2O	[M + H]+	C6H7N2O+	Alkaloids	0.994	Nicotinic acid alkaloids	0.987	Pyridine alkaloids	0.987	Organoheterocyclic compounds	0.999	Pyridines and derivatives	0.995	Pyridinecarboxylic acids and derivatives	0.944	Pyridinecarboxamides	0.907	Nicotinamides	0.737	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Pyridinecarboxylic acids and derivatives; Pyridinecarboxamides; Primary carboxylic acid amides; Nicotinamides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	123.055	110	603011983183942068	603010784560878581	216
1	C7H9N5	[M + H]+	C7H10N5+	Alkaloids	0.991	Pseudoalkaloids (transamidation)	0.956	Purine alkaloids	0.981	Organoheterocyclic compounds	1.000	Imidazopyrimidines	0.881	Purines and purine derivatives	0.874	6-aminopurines	0.682	6-aminopurines	0.682	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organonitrogen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Amines; 6-aminopurines; Imidolactams; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	164.093	110	603011976808598275	603010784695096314	217
1	C7H11NO	[M + H]+	C7H12NO+	Alkaloids	0.862	Lysine alkaloids	0.600	Pyrrolidine alkaloids	0.280	Organoheterocyclic compounds	0.912	Pyrrolidines	0.520					Pyrrolidines	0.520	Organic compounds; Organoheterocyclic compounds; Pyrrolidines; Organonitrogen compounds; Organooxygen compounds; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	126.091	110	603011976397556380	603010784850285567	218
1	C7H11NO	[M - H2O + H3N + H]+	C7H13N2+	Fatty acids	0.515	Fatty amides	0.572	Primary amides	0.377	Organic oxygen compounds	0.996	Organooxygen compounds	0.979	Carbonyl compounds	0.683			Carbonyl compounds	0.683	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	125.107	110	603011982621905142	603010784976114692	219
1	C9H16N2O2	[M + H]+	C9H17N2O2+	Alkaloids	0.859	Ornithine alkaloids	0.633	Polyamines	0.152	Organoheterocyclic compounds	0.736	Lactams	0.576					Lactams	0.576	Organic compounds; Organoheterocyclic compounds; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Acetamides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	185.128	110	603011977341275067	603010785143886857	220
1	C4H4N2O	[M + H]+	C4H5N2O+	Alkaloids	0.830	Peptide alkaloids	0.715	Pyrazine and Piperazine alkaloids	0.875	Organic oxygen compounds	0.996	Organooxygen compounds	0.990	Carbonyl compounds	0.670	Aldehydes	0.739	Aryl-aldehydes	0.685	Organic compounds; Organoheterocyclic compounds; Pyrazines; Aldehydes; Organonitrogen compounds; Organooxygen compounds; Diazines; Carbonyl compounds; Aryl-aldehydes; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	97.040	110	603011980583472892	603010785278104590	221
1	C10H14N4O2	[M + H]+	C10H15N4O2+	Alkaloids	0.953	Histidine alkaloids	0.898	Imidazole alkaloids	0.898	Organoheterocyclic compounds	0.995	Azoles	0.728					Azoles	0.728	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Acetamides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	223.119	111	603011973990025158	603010785517179928	223
1	C12H16N4O3	[M + H]+	C12H17N4O3+	Alkaloids	0.804	Small peptides	0.232	Purine alkaloids	0.203	Organoheterocyclic compounds	0.997	Diazines	0.733	Pyrimidines and pyrimidine derivatives	0.685			Pyrimidines and pyrimidine derivatives	0.685	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Diazines; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	265.129	111	603011981531385783	603010785663980573	224
1	C9H18N2O2	[M + H]+	C9H19N2O2+	Fatty acids	0.357	Ornithine alkaloids	0.112	Polyamines	0.117	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.988	Carboxylic acid derivatives	0.990	Carboxylic acid amides	0.975	Secondary carboxylic acid amides	0.951	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	187.144	111	603011986262561966	603010785794004002	225
2	C11H15N5OS	[M + H]+	C11H16N5OS+	Alkaloids	0.959	Pseudoalkaloids (transamidation)	0.876	Purine alkaloids	0.906	Organoheterocyclic compounds	1.000	Imidazopyrimidines	0.998	Purines and purine derivatives	0.998	6-aminopurines	0.770	6-aminopurines	0.770	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Thioethers; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Amines; Primary amines; 6-aminopurines; Sulfenyl compounds; 6-thiopurines; Alkylarylthioethers; Imidolactams; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities	266.107	111	603011977739734073	603010785919833127	226
1	C8H11N5O	[M + H]+	C8H12N5O+	Alkaloids	0.914	Pseudoalkaloids (transamidation)	0.752	Purine alkaloids	0.915	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.902	Tertiary amines	0.845	Dialkylarylamines	0.860	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Amines; Tertiary amines; Tertiary alkylarylamines; Dialkylarylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	194.104	112	603011988787533851	603010786041467948	227
1	C5H11NO2	[M + H]+	C5H12NO2+	Fatty acids	0.513	Fatty amides	0.268	Aminosugars	0.115	Organic acids and derivatives	0.937	Carboxylic acids and derivatives	0.891	Carboxylic acid derivatives	0.833	Carboxylic acid amides	0.868	Secondary carboxylic acid amides	0.717	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	118.086	112	603011983892779705	603010786213434417	229
1	C6H14N2OS	[M + H]+	C6H15N2OS+	Alkaloids	0.537	Ornithine alkaloids	0.841	Polyamines	0.921	Organic acids and derivatives	0.985	Carboxylic acids and derivatives	0.962	Amino acids, peptides, and analogues	0.960	Amino acids and derivatives	0.960	Beta amino acids and derivatives	0.743	Organic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Beta amino acids and derivatives; Dialkylamines; Amines; Primary amines; Secondary amines; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	163.090	113	603011982101811352	603010786498647094	230
